OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
752463,04092013543,Carolina Ale House,2240 WALNUT ST ,,CARY,NC,27518,(919) 854-9444,2002/03/01 00:00:00+00,Restaurant,692,-78.74239025,35.7549643,M
752464,04092013546,Mojoe's Burger Joint,620 GLENWOOD AVE,,RALEIGH,NC,27603-1224,(919) 832-6799,2002/03/27 00:00:00+00,Restaurant,696,-78.64692492,35.78849622,M
752465,04092013020,La Farm Bakery,4248 NW CARY PKY ,,CARY,NC,27513-8478,(919) 657-0657,1999/10/13 00:00:00+00,Restaurant,719,-78.82751464,35.79057556,M
752466,04092300027,Sam's Club #8223 Meat Market,2537 S SAUNDERS ST ,,RALEIGH,NC,27603-2843,(919) 839-1700,1992/08/06 00:00:00+00,Meat Market,743,-78.64662127,35.75036941,M
752467,04092012102,CARRABBA'S ITALIAN GRILL #3420,4821 CAPITAL BLVD ,,RALEIGH,NC,27616-4483,(919) 871-0001,1997/08/18 00:00:00+00,Restaurant,762,-78.58143515,35.8525397,M
752468,04092013025,Points West Cafe at Wake Med Cary,1900 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 350-2736,1999/11/04 00:00:00+00,Restaurant,775,-78.78171775,35.74074657,M
752469,04092010405,Kanki Japanese House Of Steaks,4500 Old Wake Forest RD ,,RALEIGH,NC,27609-6235,(919) 876-4157,1991/05/08 00:00:00+00,Restaurant,786,-78.6099575,35.84195384,M
752470,04092160023,Spring Arbor Of East Raleigh Kitchen,1810 New Hope Rd,,RALEIGH,NC,27604,(919) 250-0255,2003/06/29 00:00:00+00,Institutional Food Service,180,-78.56460892,35.80557253,M
752471,04092013229,Sushi & Thai Restaurant,2434 WYCLIFF RD,,RALEIGH,NC,27607-2903,(919) 789-8180,2000/11/09 00:00:00+00,Restaurant,791,-78.692995,35.81676997,M
752472,04092021217,Cook Out # 24,3222 S Wilmington St ,,RALEIGH,NC,27603,(919) 661-5811,2003/09/09 00:00:00+00,Food Stand,806,-78.65069831,35.73659057,M
752473,04092021235,Sam's Club #8223 Deli/Rotiserrie,2537 S Saunders St ,,RALEIGH,NC,27603,(919) 839-1700,2003/10/27 00:00:00+00,Food Stand,808,-78.64662127,35.75036941,M
752474,04092010870,Taylor's Convenience Store,10005 SIX FORKS RD ,,RALEIGH,NC,27615-1636,(919) 847-3069,1992/01/17 00:00:00+00,Restaurant,817,-78.65047039,35.91579035,M
752475,04092014085,HOOTERS,1001 CLAREN CIR ,,MORRISVILLE,NC,27560,(919) 469-2900,2004/07/13 00:00:00+00,Restaurant,822,-78.82295551,35.85640624,M
752476,04092013725,Milano's Pizza,7509 Purfoy RD ,,FUQUAY VARINA,NC,27526,(919) 557-6093,2002/11/25 00:00:00+00,Restaurant,834,-78.77314692,35.59150607,M
752477,04092012149,New Panda Chinese Restaurant,2660 TIMBER DR ,,GARNER,NC,27529-2571,(919) 661-8393,1997/10/27 00:00:00+00,Restaurant,841,-78.63679241,35.71604965,M
752478,04092011108,Margauxs,8111 CREEDMOOR RD ,,RALEIGH,NC,27613-4389,(919) 846-9846,1993/03/18 00:00:00+00,Restaurant,844,-78.68248786,35.89850336,M
752479,04092013502,Lowes Foods #184 (Deli),5400 Apex Peakway ,,APEX,NC,27502,(919) 363-5376,2002/01/08 00:00:00+00,Restaurant,868,-78.86537597,35.73683859,M
752480,04092013568,Bob Evan's #427,8001 BRIER CREEK Pky,,RALEIGH,NC,27617-7596,(919) 806-3396,2002/04/17 00:00:00+00,Restaurant,872,-78.78163087,35.91093015,M
752481,04092013613,Backyard Burgers #1130,13250 Strickland RD ,,RALEIGH,NC,27613,(919) 847-7098,2002/07/10 00:00:00+00,Restaurant,880,-78.72644553,35.90762735,M
752482,04092013637,Tacos Mexico Restaurant,209 E Williams ST ,,APEX,NC,27502,(919) 362-8074,2002/08/12 00:00:00+00,Restaurant,883,-78.85166433,35.72667689,M
752483,04092040141,CALDRONE HOT DOGS #2 (WCID #220),1025 BLUE RIDGE RD ,,RALEIGH,NC,27607-3902,(919) 649-6385,2004/03/09 00:00:00+00,Pushcarts,911,-78.71510697,35.79630808,M
752484,04092021058,Harris Teeter #90 Produce ,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 00:00:00+00,Food Stand,921,-78.72593809,35.90878313,M
752485,04092014002,OUTBACK STEAKHOUSE #3467,845 US Hwy 70 W,,GARNER,NC,27529,(919) 329-9211,2004/03/04 00:00:00+00,Restaurant,220,0,0,U
752486,04092300060,Harris Teeter #69 Meat Market,3201-123 EDWARDS MILL RD,,RALEIGH,NC,27612-5385,(919) 781-8776,1991/08/26 00:00:00+00,Meat Market,268,-78.70556784,35.82545067,M
752487,04092160026,Holly Hill Hospital Kitchen,3019 Falstaff Rd,,RALEIGH,NC,27610,(919) 250-7000,2003/06/28 00:00:00+00,Institutional Food Service,929,-78.58396978,35.78299281,M
752488,04092021202,Lowes Foods #207 Deli,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 00:00:00+00,Food Stand,930,-78.82480349,35.65381034,M
752489,04092020870,Papa John's Pizza,9611 Strickland Rd ,,RALEIGH,NC,27615,(919) 676-7272,1999/04/07 00:00:00+00,Food Stand,946,-78.6561631,35.90108866,M
752490,04092013481,McDonald's #26522,5016-101 Spring Forest Rd,,RALEIGH,NC,27616,(919) 954-8880,2001/12/20 00:00:00+00,Restaurant,277,-78.55692582,35.85595131,M
752491,04092014152,Starbucks #2970,10760 Wakefield Commons DR ,Ste 109,RALEIGH,NC,27614,(919) 453-1010,2004/10/08 00:00:00+00,Restaurant,974,-78.5408878,35.94279833,M
752492,04092021294,Domino's Pizza #5501,2658 S Saunders ST,,RALEIGH,NC,27603,(919) 821-2330,2004/08/31 00:00:00+00,Food Stand,975,-78.64933505,35.74572465,M
752493,04092040087,Fancy Dogs #2 (WCID #106),3200 Gresham Lake RD ,STE 117,RALEIGH,NC,27615,(919) 426-3196,2001/01/05 00:00:00+00,Pushcarts,982,-78.58228759,35.88437165,M
752494,04092021233,WalMart Supercenter #5118 Deli,10050 Glenwood Ave,,RALEIGH,NC,27617,(919) 596-5790,2003/10/27 00:00:00+00,Food Stand,996,-78.77801463,35.91234038,M
752495,04092013496,Starbucks #8495,9630-101 FALLS OF NEUSE RD,,RALEIGH,NC,27615-2472,(919) 847-1363,2002/01/14 00:00:00+00,Restaurant,280,-78.60240848,35.90512634,M
752496,04092011774,THE ROCKFORD,320-1/2 GLENWOOD AVE ,,RALEIGH,NC,27603,(919) 821-9020,1995/11/03 00:00:00+00,Restaurant,367,0,0,U
752497,04092110142,Millbrook Elem. Sch. Cafeteria,1520 E Millbrook Rd ,,RALEIGH,NC,27609,(919) 850-8708,2004/01/02 00:00:00+00,Public School Lunchrooms,999,-78.61054955,35.8487884,M
752498,04092021254,Domino's Pizza #8980,2881 Jones Franklin Rd ,,RALEIGH,NC,27606,(919) 235-0808,2004/02/05 00:00:00+00,Food Stand,1002,-78.73666365,35.74405443,M
752499,04092013733,Lemongrass Thai Restaurant,8320-142 Litchford Rd ,,RALEIGH,NC,27615,(919) 954-0377,2003/01/06 00:00:00+00,Restaurant,581,-78.60100965,35.89311432,M
752500,04092020943,Whole Foods Market Seafood Shop,102 B New Waverly Place ,,CARY,NC,27511,(919) 816-8830,2000/05/09 00:00:00+00,Food Stand,615,0,0,U
752501,04092020944,Whole Foods Market Produce Shop,102 B New Waverly Place ,,CARY,NC,27511,(919) 816-8830,2000/05/09 00:00:00+00,Food Stand,616,0,0,U
752502,04092013664,Magnolia Glen Senior Living,5301 CREEDMOOR RD ,,RALEIGH,NC,27612-6305,(919) 841-4747,2002/09/17 00:00:00+00,Restaurant,1023,-78.68244591,35.85410618,M
752503,04092011381,McDonald's #7618,1567 Us 70 Hwy E,,GARNER,NC,27529,(919) 772-9496,1993/09/01 00:00:00+00,Restaurant,838,-78.55377531,35.68895612,M
752504,04092021170,Snoopy's Hot Dogs & More # 4,3600 Hillsborough St ,,RALEIGH,NC,27607,(919) 755-9022,2003/02/05 00:00:00+00,Food Stand,1033,-78.68359497,35.79339075,M
752505,04092011399,Bojangles,1209 LAURA VILLAGE RD ,,APEX,NC,27523-7140,(919) 362-1416,1993/12/02 00:00:00+00,Restaurant,854,-78.83663534,35.74916947,M
752506,04092021171,Super Target Deli,12000 Retail Dr,,WAKE FOREST,NC,27587,(919) 761-1001,2003/01/29 00:00:00+00,Food Stand,1034,-78.54185229,35.97418356,M
752507,04092021495,Harris Teeter #298 Produce,10140 GREEN LEVEL CHURCH RD ,,CARY,NC,27519,(919) 460-3126,2007/12/13 00:00:00+00,Food Stand,1055,-78.90107787,35.82060358,M
752508,04092013979,Grand Street Pizza,909 - 2 McKnight Rd,,KNIGHTDALE,NC,27545,(919) 217-3410,2003/12/31 00:00:00+00,Restaurant,897,0,0,U
752509,04092013499,Mellow Mushroom,601 W PEACE ST ,,RALEIGH,NC,27605-1519,(919) 832-3499,2002/01/28 00:00:00+00,Restaurant,1089,-78.64756602,35.78827176,M
752510,04092021109,Lowes Foods #184 Produce,5400 Apex Peakway ,,APEX,NC,27502,(919) 363-5376,2002/01/08 00:00:00+00,Food Stand,1090,-78.86537597,35.73683859,M
752511,04092021201,Middle Creek Park,151 Middle Creek Park Ln ,,APEX,NC,27502,(919) 427-9891,2003/06/23 00:00:00+00,Food Stand,927,0,0,U
752512,04092014155,Subway #30454,7850-100 Alexander Promenade PL ,,RALEIGH,NC,27617,(919) 608-0919,2004/10/12 00:00:00+00,Restaurant,1014,-78.7803264,35.91259169,M
752513,04092021215,Food Lion #2534 Meat Market/Seafood,13200 New Falls Of Neuse Rd,,RALEIGH,NC,27614,(919) 562-8912,2003/09/04 00:00:00+00,Food Stand,1123,-78.55981965,35.9407555,M
752514,04092160004,Litchford Falls Healthcare Kitchen,8200 Litchford Rd,,RALEIGH,NC,27615,(919) 878-7772,2003/04/07 00:00:00+00,Institutional Food Service,1147,-78.60167942,35.89047655,M
752515,04092020612,Harris Teeter #26 Deli,7400 CREEDMOOR RD,,RALEIGH,NC,27613-1639,(919) 848-1464,1994/05/24 00:00:00+00,Food Stand,1153,-78.67820041,35.88787167,M
752516,04092021108,Lowes Foods #184 Meat/Seafood,5400 Apex Peakway ,,APEX,NC,27502,(919) 363-5376,2002/01/08 00:00:00+00,Food Stand,1157,-78.86537597,35.73683859,M
752517,04092013504,Serendipity Gourmet Deli,118 S ACADEMY ST,,CARY,NC,27511-3302,(919) 469-1655,2002/01/24 00:00:00+00,Restaurant,1158,-78.78150853,35.78674767,M
752518,04092015002,BAAN THAI RESTAURANT,758 WILLIAMS ST ,,APEX,NC,27502,(919) 629-6399,2007/11/09 00:00:00+00,Restaurant,1051,-78.86464087,35.73807755,M
752519,04092013618,Subway #4331,9101 LEESVILLE RD ,,RALEIGH,NC,27613-4091,(919) 847-3559,2002/06/12 00:00:00+00,Restaurant,1165,-78.72548207,35.8967595,M
752520,04092013454,Torero's Restaurant,4721 - 101 Atlantic Ave,,RALEIGH,NC,27604,(919) 873-9116,2001/11/20 00:00:00+00,Restaurant,1086,0,0,U
752521,04092013453,Goji Bistro,100 Maynard Crossing Ct,,CARY,NC,27513,(919) 466-8888,2001/12/03 00:00:00+00,Restaurant,1176,-78.81059568,35.78672957,M
752522,04092013574,Taco Bell #1872,6404 GLENWOOD AVE ,,RALEIGH,NC,27612-2620,(919) 787-9805,2002/05/10 00:00:00+00,Restaurant,1186,-78.70522304,35.85868466,M
752523,04092013636,Armadillo Grill,439 GLENWOOD AVE ,,RALEIGH,NC,27603-1219,(919) 546-0555,2002/07/16 00:00:00+00,Restaurant,1189,-78.6476584,35.78604393,M
752524,04092011828,Taco Bell,1384 N MAIN ST ,,FUQUAY VARINA,NC,27526-2617,(919) 557-5557,1996/01/02 00:00:00+00,Restaurant,1225,-78.77420891,35.59204807,M
752525,04092013590,Maximillian's Grille And Wine Bar,8314 CHAPEL HILL RD ,,CARY,NC,27513-4051,(919) 465-2455,2002/04/29 00:00:00+00,Restaurant,1252,-78.77617181,35.79224815,M
752526,04092013519,Los Tres Magueyes,411-J S Main St ,,ROLESVILLE,NC,27571,(919) 562-1669,2002/02/02 00:00:00+00,Restaurant,1093,-78.46518814,35.91835371,M
752527,04092021056,Cook Out #13,6505 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6814,(919) 862-8830,2001/02/23 00:00:00+00,Food Stand,1293,-78.62236608,35.87164952,M
752528,04092160010,Rex Rehabilitation And Nursing Care Center Cafe,4210 Lake Boone Tra ,,RALEIGH,NC,27609,(919) 784-6632,2003/04/16 00:00:00+00,Institutional Food Service,1197,0,0,U
752529,04092021272,Moe's Southwest Grill,4325 Glenwood Ave ,Suite 2037,RALEIGH,NC,27612,(919) 235-4550,2004/05/01 00:00:00+00,Food Stand,1301,-78.68184484,35.84183815,T
752530,04092021282,WalMart #5254 Deli,2114 S Main St ,,WAKE FOREST,NC,27587,(919) 562-2921,2004/07/15 00:00:00+00,Food Stand,1304,-78.5350345,35.95207529,M
752531,04092021127,Papa John's,3591 MAITLAND DR ,Suite 5,RALEIGH,NC,27610-1239,(919) 250-0101,2002/06/11 00:00:00+00,Food Stand,1309,-78.58046526,35.79725239,M
752532,04092300216,A & C Supermarket Meat Market,3210-131 S Wilmington St ,,RALEIGH,NC,27603,(919) 232-2288,2003/07/09 00:00:00+00,Meat Market,1199,-78.65050023,35.73622566,M
752533,04092011773,Cup A Joe,2109 AVENT FERRY RD,Suite 142,RALEIGH,NC,27606-2137,(919) 828-9886,1995/11/03 00:00:00+00,Restaurant,1314,-78.67605091,35.77835817,M
752534,04092021091,BJ's Warehouse Club #123 (Foodstand - MM Area),8811 Brier Creek Pky ,,RALEIGH,NC,27616,(919) 806-5000,2001/09/07 00:00:00+00,Food Stand,1330,-78.78753116,35.90154813,M
752535,04092030110,A Taste of New York #4 (WCID #007),301-H W Hargett ST ,,RALEIGH,NC,27602,(919) 846-9863,2004/04/01 00:00:00+00,Mobile Food Units,1238,-78.64351577,35.77836058,M
752536,04092021181,Little Caesars #18,203 Timber DR ,,GARNER,NC,27529,(919) 772-7775,2003/09/12 00:00:00+00,Food Stand,1344,-78.60613102,35.68500723,M
752537,04092160022,Spring Arbor Of Apex Foodservice,901 Spring Arbor Ct,,APEX,NC,27502,(919) 303-9997,2003/06/30 00:00:00+00,Institutional Food Service,1346,-78.8646915,35.73535765,M
752538,04092014046,Overtime Sports Pub,1030-149 N Rogers Ln ,,RALEIGH,NC,27610,(919) 255-9556,2004/05/04 00:00:00+00,Restaurant,1297,-78.54967347,35.79198567,M
752539,04092160025,Wellington Nursing Center Kitchen,1000 Tandal Pl,,KNIGHTDALE,NC,27545,(919) 266-7744,2003/06/29 00:00:00+00,Institutional Food Service,1347,-78.50919721,35.7933865,M
752540,04092013834,Smithfield Chicken & Bar-B-Que,12504 Capital BLVD ,,WAKE FOREST,NC,27587,(919) 488-8388,2003/07/10 00:00:00+00,Restaurant,1349,-78.53382266,35.98666565,M
752541,04092014019,Jason's Deli,8421-101 Brier Creek Pky ,,RALEIGH,NC,27617,(919) 572-9996,2004/04/07 00:00:00+00,Restaurant,1334,-78.78578747,35.90670595,M
752542,04092013475,Bojangles # 29,12109 Cloverleaf Dr,,WAKE FOREST,NC,27587-6516,(919) 554-2243,2001/12/14 00:00:00+00,Restaurant,1360,-78.54093466,35.97688776,M
752543,04092014041,N.Y. Bagels & Deli,7909-121 Falls Of Neuse Rd ,,RALEIGH,NC,27615,(919) 848-1310,2004/05/04 00:00:00+00,Restaurant,1336,-78.62697433,35.89197359,M
752544,04092015336,LOS TRES MAGUEYES,401 WAKE CHAPEL RD ,,FUQUAY VARINA,NC,27526,(919) 552-3957,2009/02/06 00:00:00+00,Restaurant,1375,-78.80006934,35.5907222,M
752545,04092021484,Food Lion #2638 Meat Market/Seafood,6209 Rock Quarry RD ,,RALEIGH,NC,27610,(919) 772-5894,2007/11/05 00:00:00+00,Food Stand,1394,-78.54796019,35.72312495,M
752546,04092015027,Poole's Diner,426  S McDowell ST ,,RALEIGH,NC,27607,(919) 832-4477,2007/12/11 00:00:00+00,Restaurant,1395,-78.64230399,35.77471765,M
752547,04092013505,Subway,2444 Old Apex Rd,,CARY,NC,27513,(919) 467-3898,2002/01/25 00:00:00+00,Restaurant,1382,0,0,U
752548,04092013346,BROOKDALE OF NORTH RALEIGH FOOD SERVICE,1200 Carlos Dr ,,RALEIGH,NC,27609,(919) 334-2222,2001/07/05 00:00:00+00,Restaurant,1407,-78.61847832,35.86397289,M
752549,04092011988,Brigs At The Crossing Restaurant,1225 NW MAYNARD RD ,,CARY,NC,27513-8720,(919) 481-9300,1996/12/31 00:00:00+00,Restaurant,1413,-78.81241463,35.78438636,M
752550,04092021289,Harris Teeter #43 Produce,3638 Rogers Rd ,,WAKE FOREST,NC,27587,(919) 562-9521,2004/08/03 00:00:00+00,Food Stand,1427,-78.50482681,35.94464173,M
752551,04092014119,HONG KONG CHINESE KITCHEN,5563 WESTERN  BLVD ,Suite 11-A,RALEIGH,NC,27606,(919) 851-1505,2004/08/26 00:00:00+00,Restaurant,1431,-78.72051017,35.78412594,M
752552,04092013322,Scooters Grill And Bar,1911 Sego Ct,,RALEIGH,NC,27616-2967,(919) 954-2171,2001/05/08 00:00:00+00,Restaurant,1437,-78.60143378,35.85144385,M
752553,04092014015,The Third Place,1811 Glenwood Ave ,,RALEIGH,NC,27608,(919) 834-6566,2004/04/01 00:00:00+00,Restaurant,1443,-78.64652735,35.80484826,M
752554,04092014090,Moe's Southwest Grill,7850-115 Alexander Promonade Pl ,,RALEIGH,NC,27617,(919) 957-9075,2004/07/14 00:00:00+00,Restaurant,1454,-78.7803264,35.91259169,M
752555,04092030117,Pupuseria El Salvador (WCID #403),15 Jones Franklyn RD ,,Raleigh,NC,27606,(919) 625-4405,2004/08/20 00:00:00+00,Mobile Food Units,1457,-78.72110095,35.78550754,M
752556,04092010218,Denny's Restaurant,3215 Wake Forest Rd ,,RALEIGH,NC,27609-7446,(919) 876-9556,1991/04/05 00:00:00+00,Restaurant,1474,-78.6209672,35.82707648,M
752557,04092010035,Ashworth Rexall Drug,105 W CHATHAM ST,,CARY,NC,27511-3331,(919) 467-1834,1991/05/02 00:00:00+00,Restaurant,1477,-78.78142086,35.78714267,M
752558,04092010072,Bojangles # 11,7525 Us 64 Hwy E,,KNIGHTDALE,NC,27545-9274,(919) 266-2768,1991/05/01 00:00:00+00,Restaurant,1476,0,0,U
752559,04092010167,Cloos Coney Island,2233-102 AVENT FERRY RD ,,RALEIGH,NC,27606-2138,(919) 834-3354,1991/04/19 00:00:00+00,Restaurant,1479,-78.6777461,35.7779645,M
752560,04092010495,Milton's Pizza House,8853 SIX FORKS RD ,,RALEIGH,NC,27615-2970,(919) 847-0604,1991/05/09 00:00:00+00,Restaurant,1526,-78.65461142,35.89932701,M
